metro_slug,city,state,listed_providers,provider_stated_24_7,provider_stated_insurance_direct_billing,google_rated_listings,google_review_total,domain_matched_google_business_locations,iicrc_certified_firms,official_state_mold_credentials,date_modified,license_url
houston-tx,Houston,TX,120,105,71,115,12817,116,39,19,2026-07-30,https://restoreradar.com/restoration-market-data/#reuse-terms
dallas-tx,Dallas,TX,90,77,57,87,7320,89,34,14,2026-07-30,https://restoreradar.com/restoration-market-data/#reuse-terms
tampa-fl,Tampa,FL,77,67,46,73,8858,75,28,1,2026-07-30,https://restoreradar.com/restoration-market-data/#reuse-terms
new-orleans-la,New Orleans,LA,26,16,10,21,1463,23,4,7,2026-07-30,https://restoreradar.com/restoration-market-data/#reuse-terms
austin-tx,Austin,TX,41,36,31,38,2518,40,15,7,2026-07-30,https://restoreradar.com/restoration-market-data/#reuse-terms
orlando-fl,Orlando,FL,84,72,46,70,6242,77,20,0,2026-07-30,https://restoreradar.com/restoration-market-data/#reuse-terms
san-antonio-tx,San Antonio,TX,33,32,29,31,2525,32,15,6,2026-07-30,https://restoreradar.com/restoration-market-data/#reuse-terms
jacksonville-fl,Jacksonville,FL,29,22,16,26,2233,24,10,0,2026-07-30,https://restoreradar.com/restoration-market-data/#reuse-terms
fort-worth-tx,Fort Worth,TX,39,35,23,36,3767,38,11,7,2026-07-30,https://restoreradar.com/restoration-market-data/#reuse-terms
corpus-christi-tx,Corpus Christi,TX,11,5,3,8,457,9,0,0,2026-07-30,https://restoreradar.com/restoration-market-data/#reuse-terms
